School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
M S D Perry Township School District,"Marion, IN","$136,000 ","$120,000 ",113%,136.36%,47,58,81%,-11,4.2
Lakeport Unified School District,"Lake, CA","$328,000 ","$289,000 ",113%,122.73%,54,55,98%,-1,6
Sequoia Union High School District,"San Mateo, CA","$1,584,000 ","$1,398,000 ",113%,97.22%,31,31,100%,0,7.6
Jefferson H S School District,"Jefferson, MT","$340,000 ","$300,000 ",113%,136.36%,74,109,68%,-35,7.8
D C Everest Area School District,"Marathon, WI","$193,000 ","$170,000 ",113%,96.77%,57,62,92%,-5,6.9
Vergennes Uhsd 5 School District,"Addison, VT","$350,000 ","$309,000 ",113%,95.45%,102,106,96%,-4,7.4
West De Pere School District,"Brown, WI","$209,000 ","$185,000 ",113%,131.25%,48,49,99%,-1,7.5
Sullivan West Central School District,"Sullivan, NY","$192,000 ","$170,000 ",113%,100.00%,111,101,110%,10,6.5
Lac Du Flambeau #1 School District,"Vilas, WI","$300,000 ","$265,000 ",113%,70.00%,110,84,131%,26,4
Wright City R-Ii School District,"Warren, MO","$215,000 ","$190,000 ",113%,68.97%,81,63,129%,18,6.6
Hays School District,"Ellis, KS","$180,000 ","$159,000 ",113%,112.50%,76,75,101%,1,8
Beaver Dam Unified School District,"Dodge, WI","$158,000 ","$140,000 ",113%,142.86%,73,69,106%,4,5
Eastland Cusd 308 School District,"Carroll, IL","$246,000 ","$217,000 ",113%,102.44%,96,96,101%,0,7
Rescue Union Elementary School District,"El Dorado, CA","$622,000 ","$550,000 ",113%,111.02%,31,37,84%,-6,8.7
Westfield School District,"Hampden, MA","$215,000 ","$190,000 ",113%,123.08%,60,61,98%,-1,5
Ames Community School District,"Story, IA","$260,000 ","$230,000 ",113%,158.54%,41,46,89%,-5,8.6
North Fond Du Lac School District,"Fond du Lac, WI","$141,000 ","$124,000 ",113%,129.41%,54,83,65%,-29,3
Verdigris School District,"Rogers, OK","$187,000 ","$165,000 ",113%,83.33%,66,67,99%,-1,8
North East Isd School District,"Bexar, TX","$260,000 ","$230,000 ",113%,124.53%,45,52,87%,-7,7.6
Dunmore School District,"Lackawanna, PA","$130,000 ","$115,000 ",113%,158.33%,52,95,55%,-43,6.1
Totowa School District,"Passaic, NJ","$390,000 ","$345,000 ",113%,107.14%,51,58,88%,-7,6
Dolores School District No. Re-4A School District,"Montezuma, CO","$339,000 ","$300,000 ",113%,111.76%,74,95,78%,-21,6
Cass Sd 63 School District,"DuPage, IL","$395,000 ","$350,000 ",113%,105.13%,52,54,96%,-2,8.9
Graham Local School District,"Champaign, OH","$132,000 ","$117,000 ",113%,82.81%,87,85,102%,2,5.3
Buckeye Local School District,"Ashtabula, OH","$124,000 ","$110,000 ",113%,104.76%,79,78,101%,1,7
Hopewell Valley Regional School District,"Mercer, NJ","$547,000 ","$485,000 ",113%,137.04%,74,68,109%,6,9
Riverside-Brookfield Twp Sd 208 School District,"Cook, IL","$300,000 ","$266,000 ",113%,145.16%,54,54,100%,0,8.5
Williams Bay School District,"Walworth, WI","$310,000 ","$275,000 ",113%,107.89%,74,81,91%,-7,8.9
Brandywine School District,"New Castle, DE","$265,000 ","$235,000 ",113%,100.00%,67,71,94%,-4,5.5
Milton School District,"Norfolk, MA","$620,000 ","$550,000 ",113%,158.49%,23,45,51%,-22,9
Brewer School Department School District,"Penobscot, ME","$150,000 ","$133,000 ",113%,160.00%,74,98,76%,-24,8
Alpine Union Elementary School District,"San Diego, CA","$778,000 ","$690,000 ",113%,104.03%,42,37,114%,5,8
Hall County School District,"Jackson, GA","$325,000 ","$288,000 ",113%,90.00%,54,59,92%,-5,6.8
Norridge Sd 80 School District,"Cook, IL","$299,000 ","$266,000 ",113%,158.06%,37,55,68%,-18,7
Pulaski Central School District,"Oswego, NY","$135,000 ","$120,000 ",113%,91.30%,66,69,96%,-3,5.3
Hamburg Central School District,"Erie, NY","$180,000 ","$160,000 ",113%,120.00%,65,41,159%,24,8.9
Marlboro Township School District,"Monmouth, NJ","$579,000 ","$515,000 ",113%,148.84%,58,65,89%,-7,9
Elk Grove Unified School District,"Sacramento, CA","$360,000 ","$320,000 ",113%,104.55%,23,23,100%,0,6.5
Provincetown School District,"Barnstable, MA","$587,000 ","$522,000 ",113%,166.67%,106,86,123%,20,3
Glen Cove City School District,"Nassau, NY","$674,000 ","$599,000 ",113%,80.00%,101,66,153%,35,6.1
Indian Lake Local School District,"Logan, OH","$180,000 ","$160,000 ",113%,100.00%,94,86,109%,8,6
Bettendorf Community School District,"Scott, IA","$225,000 ","$200,000 ",113%,140.91%,44,48,92%,-4,7
Hale Area School District,"Iosco, MI","$135,000 ","$120,000 ",113%,72.22%,65,71,92%,-6,4
Waller Isd School District,"Harris, TX","$315,000 ","$280,000 ",112%,107.14%,72,51,141%,21,6.6
Madison City School District,"Limestone, AL","$270,000 ","$240,000 ",112%,91.67%,64,68,94%,-4,9
Evesham Township School District,"Burlington, NJ","$270,000 ","$240,000 ",112%,137.14%,67,74,91%,-7,7
Palatine Ccsd 15 School District,"Cook, IL","$299,000 ","$266,000 ",112%,96.77%,52,54,96%,-2,7.5
Township Hsd 214 School District,"Cook, IL","$299,000 ","$266,000 ",112%,122.58%,46,54,85%,-8,7.7
Red Bank Regional H S  Di School District,"Monmouth, NJ","$579,000 ","$515,000 ",112%,109.30%,58,65,89%,-7,6.3
Northern Humboldt Union High School District,"Humboldt, CA","$375,000 ","$334,000 ",112%,110.99%,41,47,88%,-6,6.9
Central Curry Sd 1 School District,"Curry, OR","$450,000 ","$400,000 ",112%,111.54%,119,100,119%,19,8
Webb City R-Vii School District,"Jasper, MO","$138,000 ","$122,000 ",112%,139.29%,58,65,89%,-7,9
Raymore-Peculiar R-Ii School District,"Cass, MO","$258,000 ","$230,000 ",112%,100.00%,52,52,100%,0,7.6
Readington Township School District,"Hunterdon, NJ","$545,000 ","$485,000 ",112%,135.19%,61,80,76%,-19,10
Gettysburg Area School District,"Adams, PA","$247,000 ","$220,000 ",112%,105.17%,81,68,119%,13,6
White Bear Lake School District,"Ramsey, MN","$275,000 ","$245,000 ",112%,125.93%,41,41,100%,0,8.1
Coldwater Community School District,"Branch, MI","$146,000 ","$130,000 ",112%,111.11%,102,83,123%,19,5
San Diego Unified School District,"San Diego, CA","$775,000 ","$690,000 ",112%,109.68%,33,37,89%,-4,6.8
Bullard Isd,"Cherokee, TX","$300,000 ","$267,000 ",112%,102.38%,73,73,100%,0,7.7
Chippewa Hills School District,"Mecosta, MI","$174,000 ","$155,000 ",112%,83.33%,73,74,99%,-1,6
Neenah Joint School District,"Winnebago, WI","$174,000 ","$155,000 ",112%,134.48%,47,60,78%,-13,7.6
Eustace Isd School District,"Henderson, TX","$275,000 ","$245,000 ",112%,88.24%,114,107,107%,7,7
Babylon Union Free School District,"Suffolk, NY","$514,000 ","$458,000 ",112%,125.00%,60,69,88%,-9,8
Asheboro City School District,"Randolph, NC","$157,000 ","$140,000 ",112%,87.50%,88,87,101%,1,5
Barbers Hill Isd School District,"Chambers, TX","$275,000 ","$245,000 ",112%,113.64%,42,47,89%,-5,9
La Grange Isd School District,"Fayette, TX","$220,000 ","$196,000 ",112%,104.17%,71,72,99%,-1,6.5
Sierra Vista Unified District School District,"Cochise, AZ","$175,000 ","$156,000 ",112%,136.36%,76,106,72%,-30,7.2
Siskiyou Union High School District,"Siskiyou, CA","$279,000 ","$249,000 ",112%,105.41%,66,69,96%,-3,6
Mankato Public School District,"Nicollet, MN","$244,000 ","$217,000 ",112%,114.89%,52,55,95%,-3,8.6
Cumberland School District,"Barron, WI","$195,000 ","$174,000 ",112%,60.00%,80,82,98%,-2,6.5
J O Combs Unified School District,"Pinal, AZ","$213,000 ","$190,000 ",112%,131.82%,58,68,85%,-10,5.9
Sylvan Union Elementary School District,"Stanislaus, CA","$325,000 ","$290,000 ",112%,93.02%,24,25,96%,-1,7.1
Lake Chelan School District,"Chelan, WA","$425,000 ","$379,000 ",112%,63.64%,83,50,166%,33,5.3
Fontana J8 School District,"Walworth, WI","$308,000 ","$275,000 ",112%,94.74%,95,81,117%,14,5.1
Jefferson County School District,"Jefferson, AL","$201,000 ","$179,000 ",112%,101.85%,69,70,99%,-1,7.4
Natick School District,"Middlesex, MA","$622,000 ","$556,000 ",112%,104.92%,39,37,105%,2,9
Wilmot Uhs School District,"Kenosha, WI","$235,000 ","$210,000 ",112%,97.27%,62,54,115%,8,6.9
Oologah-Talala School District,"Rogers, OK","$185,000 ","$165,000 ",112%,103.70%,57,67,86%,-10,7.7
Twin Lakes #4 School District,"Kenosha, WI","$235,000 ","$210,000 ",112%,114.55%,67,54,124%,13,6
Kettle Falls School District,"Stevens, WA","$249,000 ","$223,000 ",112%,88.89%,93,95,98%,-2,5.3
Huntingdon School District,"Carroll, TN","$110,000 ","$99,000 ",112%,103.57%,137,128,107%,9,6
Bellville Isd School District,"Austin, TX","$297,000 ","$265,000 ",112%,80.95%,92,51,179%,41,7
Greater Albany Public Sd 8J School District,"Linn, OR","$245,000 ","$219,000 ",112%,128.00%,41,48,85%,-7,6.8
Bear Valley Unified School District,"San Bernardino, CA","$330,000 ","$295,000 ",112%,62.50%,58,53,109%,5,5.9
East Brunswick Township School District,"Middlesex, NJ","$380,000 ","$340,000 ",112%,137.50%,66,62,106%,4,7.4
Mascoutah Cud 19 School District,"St. Clair, IL","$190,000 ","$170,000 ",112%,100.00%,62,66,94%,-4,8.9
Visalia Unified School District,"Tulare, CA","$248,000 ","$222,000 ",112%,102.50%,59,63,94%,-4,6.3
Northern Lebanon School District,"Lebanon, PA","$187,000 ","$168,000 ",112%,109.09%,82,100,82%,-18,4
Azle Isd School District,"Tarrant, TX","$279,000 ","$250,000 ",112%,101.41%,62,38,163%,24,6.5
Ankeny Community School District,"Polk, IA","$250,000 ","$224,000 ",112%,90.91%,46,48,96%,-2,9.8
Northumberland Co Pblc Schs School District,"Northumberland, VA","$390,000 ","$349,000 ",112%,100.00%,139,154,90%,-15,4.3
Southwestern Central School District At Jamestown School District,"Chautauqua, NY","$145,000 ","$130,000 ",112%,100.00%,83,89,93%,-6,7.3
Birchwood School District,"Washburn, WI","$218,000 ","$195,000 ",112%,87.50%,115,88,131%,27,5.5
Clinton School District,"Middlesex, CT","$329,000 ","$295,000 ",112%,106.67%,74,74,100%,0,7.5
Grinnell-Newburg Community School District,"Poweshiek, IA","$154,000 ","$138,000 ",112%,159.38%,117,125,94%,-8,8
San Luis Coastal Unified School District,"San Luis Obispo, CA","$775,000 ","$695,000 ",112%,110.77%,73,62,118%,11,7.3
Chester Township School District,"Morris, NJ","$645,000 ","$579,000 ",111%,97.37%,72,59,122%,13,9
Litchfield School District,"Litchfield, CT","$400,000 ","$359,000 ",111%,100.00%,118,93,127%,25,8.3
Regional School District 06 School District,"Litchfield, CT","$400,000 ","$359,000 ",111%,58.82%,120,93,129%,27,9
Petaluma Joint Union High School District,"Sonoma, CA","$685,000 ","$615,000 ",111%,135.85%,28,34,82%,-6,7
Littleton School District No. 6 In The County Of Arapahoe,"Arapahoe, CO","$490,000 ","$440,000 ",111%,136.36%,22,22,100%,0,8
Byron Public School District,"Olmsted, MN","$270,000 ","$242,000 ",111%,123.53%,51,51,100%,0,8.5
Lakeside School District,"Garland, AR","$246,000 ","$220,000 ",111%,93.33%,90,95,95%,-5,8.9
Hunterdon Central Regiona School District,"Hunterdon, NJ","$540,000 ","$485,000 ",111%,107.41%,73,80,91%,-7,9.6
Martin School District,"Martin, FL","$389,000 ","$349,000 ",111%,114.29%,82,97,85%,-15,7.3
Olmsted Falls City School District,"Cuyahoga, OH","$177,000 ","$159,000 ",111%,186.05%,60,62,97%,-2,9.5
Livingston Manor Central School District,"Sullivan, NY","$189,000 ","$170,000 ",111%,200.00%,111,101,110%,10,6.5
Hawthorn Ccsd 73 School District,"Lake, IL","$361,000 ","$325,000 ",111%,111.29%,47,57,82%,-10,9.2
State College Area School District,"Centre, PA","$343,000 ","$309,000 ",111%,105.41%,68,71,96%,-3,8.7
Shoreline School District,"King, WA","$695,000 ","$625,000 ",111%,160.61%,15,21,73%,-6,8.1
Fairfield Isd School District,"Freestone, TX","$194,000 ","$175,000 ",111%,104.35%,142,146,97%,-4,8.5
Alexandria Township School District,"Hunterdon, NJ","$539,000 ","$485,000 ",111%,70.37%,86,80,108%,6,7.7
Plattsburgh City School District,"Clinton, NY","$160,000 ","$144,000 ",111%,100.00%,123,83,148%,40,6
Il Valley Central Usd 321 School District,"Peoria, IL","$150,000 ","$135,000 ",111%,121.43%,58,68,86%,-10,8
Berlin Borough School District,"Camden, NJ","$210,000 ","$189,000 ",111%,90.91%,90,79,114%,11,7.7
Kyrene Elementary District School District,"Maricopa, AZ","$360,000 ","$324,000 ",111%,105.71%,49,54,91%,-5,8.7
El Tejon Unified School District,"Kern, CA","$250,000 ","$225,000 ",111%,100.00%,74,58,128%,16,5.6
Chsd 155 School District,"McHenry, IL","$260,000 ","$234,000 ",111%,107.69%,56,58,97%,-2,8.8
Eastland Isd School District,"Eastland, TX","$144,000 ","$130,000 ",111%,97.06%,129,120,107%,9,6.7
Cherry Creek School District No. 5 In The County Of Arapah,"Arapahoe, CO","$488,000 ","$440,000 ",111%,92.42%,26,22,116%,4,7.9
De Soto School District,"Johnson, KS","$380,000 ","$342,000 ",111%,69.01%,51,38,134%,13,8.2
Chandler Unified District School District,"Maricopa, AZ","$359,000 ","$324,000 ",111%,111.43%,53,54,98%,-1,8.8
Orland Sd 135 School District,"Cook, IL","$295,000 ","$266,000 ",111%,170.97%,55,54,102%,1,9
Newhall School District,"Los Angeles, CA","$610,000 ","$550,000 ",111%,148.72%,42,46,91%,-4,8
Bryan City School District,"Williams, OH","$122,000 ","$110,000 ",111%,125.00%,62,61,102%,1,7
Johnsburg Cusd 12 School District,"McHenry, IL","$260,000 ","$234,000 ",111%,100.00%,55,58,95%,-3,7.3
Boyne City Public School District,"Charlevoix, MI","$285,000 ","$257,000 ",111%,116.67%,74,75,99%,-1,7.7
Meramec Valley R-Iii School District,"Franklin, MO","$171,000 ","$154,000 ",111%,142.86%,73,86,85%,-13,6.1
Cedarburg School District,"Ozaukee, WI","$377,000 ","$340,000 ",111%,144.44%,44,52,85%,-8,10
Mahwah Township School District,"Bergen, NJ","$675,000 ","$609,000 ",111%,89.47%,58,61,95%,-3,9
Waynesville R-Vi School District,"Pulaski, MO","$155,000 ","$140,000 ",111%,85.71%,108,93,116%,15,6
Logan County School District,"Logan, KY","$144,000 ","$130,000 ",111%,80.00%,98,86,113%,12,8
Western School District,"Jackson, MI","$155,000 ","$140,000 ",111%,115.28%,57,60,95%,-3,8
Barren Co School District,"Barren, KY","$165,000 ","$149,000 ",111%,91.30%,89,73,121%,16,6
Brattleboro Uhsd 6 School District,"Windham, VT","$249,000 ","$225,000 ",111%,162.50%,82,155,53%,-73,6.6
Eastern Carver County Public School,"Carver, MN","$376,000 ","$340,000 ",111%,83.33%,48,48,100%,0,8.8
Fremont Sd 79 School District,"Lake, IL","$359,000 ","$325,000 ",111%,93.55%,58,57,102%,1,6.9
Mukilteo School District,"Snohomish, WA","$470,000 ","$425,000 ",111%,117.24%,29,23,126%,6,7.6
Center Cass Sd 66 School District,"DuPage, IL","$387,000 ","$350,000 ",111%,105.13%,40,55,73%,-15,8.8
Somers Central School District,"Westchester, NY","$525,000 ","$475,000 ",111%,100.00%,59,63,94%,-4,9.3
Campbell Union School District,"Santa Clara, CA","$1,050,000 ","$950,000 ",111%,103.12%,30,32,94%,-2,6.6
Jacksonville City School District,"Calhoun, AL","$133,000 ","$120,000 ",111%,114.29%,88,102,86%,-14,7.5
Ausable Valley Central School District,"Clinton, NY","$159,000 ","$144,000 ",110%,60.00%,118,83,142%,35,5
Holt Public School District,"Ingham, MI","$165,000 ","$149,000 ",110%,103.57%,48,53,91%,-5,6.9
West Springfield School District,"Hampden, MA","$210,000 ","$190,000 ",110%,112.82%,46,61,75%,-15,4
Williamson County School District,"Williamson, TN","$599,000 ","$542,000 ",110%,94.64%,40,39,103%,1,9.6
Andover School District,"Butler, KS","$248,000 ","$225,000 ",110%,100.94%,80,74,108%,6,8.3
Pryor School District,"Mayes, OK","$157,000 ","$142,000 ",110%,83.33%,66,68,98%,-2,5.5
Westfield School District,"Marquette, WI","$149,000 ","$135,000 ",110%,100.00%,116,117,99%,-1,3
Iola-Scandinavia School District,"Waupaca, WI","$149,000 ","$135,000 ",110%,80.00%,98,88,112%,11,6.5
Beebe School District,"White, AR","$160,000 ","$145,000 ",110%,105.00%,80,80,100%,0,6.7
Richland School District,"Benton, WA","$330,000 ","$299,000 ",110%,113.33%,33,34,97%,-1,6.8
Eureka Springs School District,"Carroll, AR","$200,000 ","$181,000 ",110%,119.05%,142,138,103%,4,7
Weld County Reorganized School District No. Re-4 School District,"Weld, CO","$380,000 ","$344,000 ",110%,94.59%,44,39,113%,5,7.9
Taylorville Cusd 3 School District,"Christian, IL","$85,000 ","$77,000 ",110%,160.00%,73,107,69%,-34,5.9
Lenape Valley Regional Hi School District,"Sussex, NJ","$265,000 ","$240,000 ",110%,168.42%,67,78,86%,-11,7.3
Mashpee School District,"Barnstable, MA","$575,000 ","$522,000 ",110%,61.11%,89,86,103%,3,4.7
River Ridge Cusd 210 School District,"Jo Daviess, IL","$215,000 ","$195,000 ",110%,80.00%,181,125,145%,56,8
Minisink Valley Central School District,"Orange, NY","$270,000 ","$245,000 ",110%,96.00%,80,94,85%,-14,6.9
Wheelersburg Local School District,"Scioto, OH","$160,000 ","$145,000 ",110%,92.11%,88,89,99%,-1,7.7
East Windsor School District,"Hartford, CT","$275,000 ","$250,000 ",110%,43.33%,105,61,172%,44,4.3
Vashon Island School District,"King, WA","$689,000 ","$625,000 ",110%,104.55%,41,21,200%,21,8.3
Wyoming Area School District,"Luzerne, PA","$140,000 ","$127,000 ",110%,181.48%,87,96,91%,-9,7
Mcgregor Public School District,"Aitkin, MN","$239,000 ","$217,000 ",110%,85.71%,115,104,111%,11,4.5
Regional School District 13 School District,"Middlesex, CT","$325,000 ","$295,000 ",110%,97.78%,82,74,111%,8,6.9
Milford School District,"New Haven, CT","$325,000 ","$295,000 ",110%,103.70%,76,71,107%,5,6.2
Riverside Unified School District,"Riverside, CA","$424,000 ","$385,000 ",110%,182.69%,51,65,78%,-14,5.8
Indian Creek Local School District,"Jefferson, OH","$99,000 ","$90,000 ",110%,98.04%,69,69,100%,0,3
Smyrna School District,"Kent, DE","$250,000 ","$227,000 ",110%,120.00%,88,86,102%,2,6
Highland Cusd 5 School District,"Madison, IL","$138,000 ","$125,000 ",110%,97.50%,71,68,104%,3,8
Milford School District,"Worcester, MA","$350,000 ","$318,000 ",110%,138.89%,40,55,73%,-15,5.1
Viroqua Area School District,"Vernon, WI","$187,000 ","$170,000 ",110%,110.00%,103,86,120%,17,6
Wentzville R-Iv School District,"St. Charles, MO","$248,000 ","$225,000 ",110%,80.70%,47,41,115%,6,8.2
Chisago Lakes School District,"Chisago, MN","$275,000 ","$250,000 ",110%,76.19%,67,54,124%,13,8.3
Turlock Unified School District,"Stanislaus, CA","$319,000 ","$290,000 ",110%,109.30%,28,25,112%,3,6
Cusd 200 School District,"DuPage, IL","$385,000 ","$350,000 ",110%,107.69%,57,54,106%,3,8.3
Harbor Springs School District,"Emmet, MI","$329,000 ","$299,000 ",110%,88.89%,116,102,114%,14,8.3
New York City Geographic District # 2 School District,"New York, NY","$1,975,000 ","$1,795,000 ",110%,83.33%,47,47,100%,0,5.4
Hammonton Town School District,"Atlantic, NJ","$220,000 ","$200,000 ",110%,114.29%,95,103,92%,-8,4.7
Catawba County School District,"Catawba, NC","$220,000 ","$200,000 ",110%,103.23%,73,73,100%,0,6.3
Central Chsd 71 School District,"Clinton, IL","$154,000 ","$140,000 ",110%,103.85%,94,96,97%,-2,7.2
Lake City Public School District,"Wabasha, MN","$220,000 ","$200,000 ",110%,86.36%,85,79,108%,6,6
Westmoreland Co Pblc Schs School District,"Westmoreland, VA","$258,000 ","$234,000 ",110%,83.33%,94,83,113%,11,3
Shenendehowa Central School District,"Saratoga, NY","$330,000 ","$300,000 ",110%,93.33%,79,78,101%,1,8.4
Frenchtown K-12 School District,"Missoula, MT","$399,000 ","$363,000 ",110%,108.57%,92,59,155%,33,8.3
Taconic Hills Central School District,"Columbia, NY","$324,000 ","$295,000 ",110%,62.50%,92,95,97%,-3,5
Campbell Co School District,"Campbell, KY","$173,000 ","$157,000 ",110%,104.55%,59,61,97%,-2,7.7
Panama-Buena Vista Union School District,"Kern, CA","$247,000 ","$225,000 ",110%,111.11%,54,58,93%,-4,5.6
Bellingham School District,"Whatcom, WA","$460,000 ","$419,000 ",110%,144.00%,48,53,91%,-5,7.4
